10200,#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger,0.5429999999999999,#Darahku begitu #pahit bagi setan untuk diuji #becouse #cleanse oleh # darah #Jesus kristus .... # amin.
10201,The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,anger,0.625,Emoji senjata baru di iOS10 tidak cukup untuk menunjukkan kemarahan yang saya miliki terhadap beberapa hal.
10202,@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger,0.5710000000000001,@BigBrother__USA dia hanya cemburu dan bayi menangis! #bitter #gladsheisgone #crybaby
10203,I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger,0.625,Saya hanya ingin tahu mengapa tidak ada kemarahan untuk kejahatan kulit hitam pada orang kulit hitam dan tidak ada yang tahu korban-korban itu tetapi BLM keluar untuk membunuh polisi berdasarkan media
10204,Forever angry that gh ruined Molly and morgan's bond/friendship #bitter,anger,0.625,Selamanya marah karena gh merusak ikatan / persahabatan Molly dan morgan #bitter
10205,Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,anger,0.625,Komentator radio Spurs menyebut Mauricio Pochettino sebagai 'MoPo' dan saya merasakan lonjakan kemarahan yang tiba-tiba.
10206,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,anger,0.625,@ sueblue35 @ nsoz7 @immortalbulldog ya? Kami memiliki pelatih sprint? Kami tim paling lambat di kompetisi. Bicara tentang merampok mata pencaharian. #kebiadaban
10207,Can't believe I've only got 2 days off left 🙄 #backtoreality #raging,anger,0.625,Tidak percaya aku hanya punya 2 hari libur 🙄 #backtoreality #raging
10208,@Austin4evaLEEDS fuming!,anger,0.625,@ Austin4evaLEEDS mengomel!
10209,Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger,0.625,Beristirahat dari #wedding ke #rage pada #stupidity umum #orang tertentu di #internet.
10210,Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,anger,0.625,Pernah mengepalkan tangan melalui layar laptop Anda? Jika demikian waktunya untuk yang baru lmao #hp
10211,•My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--,anger,0.625,• Kakak saya menangkap saya dengan cara yang agresif dan seperti biasa @ImpetuousFiend mengamuk seperti anak kecil yang hanya tahu cara mengekspresikan dirinya--
10212,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger,0.604,"Jangan bergabung dengan @BTCare mereka meletakkan telepon pada Anda, membicarakan Anda dan kasar. Mengambil uang dari akunku mau tidak mau!"
10213,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger,0.604,"@ Casper10666 Saya jamin tidak ada tawa, tetapi kemarahan yang meningkat atas akibatnya, dan arogansi Westminster."
10214,"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",anger,0.604,"Orang membutuhkan cara untuk melarikan diri, melarikan diri dari apa? Dunia yang rusak ini. Realitas ini. Lelucon ini Kemarahan rasa sakit & stres yang terus-menerus ini. Kita butuh liburan"
10215,I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. 😑,anger,0.604,Saya mencintai orang kulit hitam saya ..... Saya benar-benar menyukainya. Tapi .... orang-orangku benar-benar membuat kesal karena aku berbeda. 😑
10216,I don't talk about politics because people nowadays get offended easily!,anger,0.479,Saya tidak berbicara tentang politik karena orang sekarang mudah tersinggung!
10217,@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,anger,0.46799999999999997,@ Manny83 @DareToReagan oh ya. SAYA BENCI serangan udara dan saya tidak suka pelanggaran Oregon / Baylor dan saya juga bukan penggemar ole miss one
10218,"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",anger,0.604,"@AskPS_UK belum terima email verifikasi, minta dikirim ulang 5 kali masih tidak ada."
10219,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger,0.604,Luar biasa membutuhkan waktu 10 menit untuk menghubungi @BarclaysUK lalu ada kesalahan dan telepon ditutup #treatcustomersfairly
10220,"@Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go",anger,0.604,"@ Will_0004 Tidak ada pembenaran untuk pengambilan gambar tanpa provokasi, meskipun orang tersebut memiliki riwayat yang buruk. Pembenaran bukanlah jalan yang harus ditempuh"
10221,I genuinely think I have anger issues,anger,0.604,Saya benar-benar berpikir saya memiliki masalah kemarahan
10222,@judy_that Im honestly offended,anger,0.604,@judythat saya benar-benar tersinggung
10223,Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter,anger,0.604,Michelle adalah salah satu pemain terburuk dalam sejarah bb # bb18 #bbfinale #bitter
10224,I'm so annoyed/sad YouTube is burning itself to the ground 🙄🙄,anger,0.604,Saya sangat kesal / sedih YouTube membakar dirinya sendiri ke tanah 🙄🙄
10225,"How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg",anger,0.604,"Bagaimana saya bisa mengatakan Selamat Ulang Tahun, ketika Anda tidak bahagia .. #bitter #ampalaya #paitpaitanangpeg"
10226,Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer ,anger,0.604,Baru saja membayar ayam di @panerabread dan bahkan tidak mendapatkan apa pun 😑😑😑 ada 4 dolar dan saya sebagai pelanggan
10227,"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",anger,0.596,"Jangan pernah lupa bahwa 5Live membatalkan program, untuk memungkinkan mereka memperpanjang 606 sehingga orang dapat menelepon dan merinci kemarahan mereka setelah perilaku kita"
10228,When someone rudely says all women should have long hair and your inner feminist tries not to rage,anger,0.604,Ketika seseorang dengan kasar mengatakan semua wanita harus memiliki rambut panjang dan feminis batin Anda mencoba untuk tidak marah
